;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
MIMM8BB019;201617;NORD OVEST;20123,0;F205;MIIC8BB008;IC A. DIAZ/MILANO;"SCUOLA MEDIA ""L.BELTRAMI""";NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;PIAZZA CARDINAL G.MASSAIA 2 MILANO;MILANO;LOMBARDIA;SI;www.icsdiaz.gov.it;True;9,1812437;45,46158629999999;SCUOLA SECONDARIA I GRADO;551
MIMM8DW01T;201617;NORD OVEST;20137,0;F205;MIIC8DW00R;I.C. VIA DE ANDREIS /MILANO;ASCOLI - FRANCESCO D'ASSISI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DW00R@istruzione.it;Non Disponibile;VIA DE ANDREIS 10;MILANO;LOMBARDIA;SI;www.icdeandreismilano.gov.it;True;9,2358273;45,46161970000001;SCUOLA SECONDARIA I GRADO;608
MIEE8D0032;201617;NORD OVEST;20152,0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;VIA VALDAGNO 8;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA VALDAGNO 8;MILANO;LOMBARDIA;SI;http//www.icsiqbalmasih.gov.it;True;9,11196;45,46138999999999;SCUOLA PRIMARIA;180
MIPS61000R;201617;NORD OVEST;20122,0;F205;MIPS61000R;LICEO STATALE MUSICALE E COREUTICO;LICEO STATALE MUSICALE E COREUTICO;NORMALE;MILANO;LICEO SCIENTIFICO;NO;MIIC8DE001;MIPS61000R@istruzione.it;Non Disponibile;VIA CONSERVATORIO 12;MILANO;LOMBARDIA;SI;www.icscuocosassi.it;True;9,2030946;45,465057200000004;SCUOLA SECONDARIA II GRADO;180
MIEE8DW042;201617;NORD OVEST;20138,0;F205;MIIC8DW00R;I.C. VIA DE ANDREIS /MILANO;VIA MELERI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DW00R@istruzione.it;Non Disponibile;VIA MELERI 14;MILANO;LOMBARDIA;SI;www.icdeandreismilano.gov.it;True;9,247706800000001;45,456529700000004;SCUOLA PRIMARIA;252
MIEE8CZ01L;201617;NORD OVEST;20147,0;F205;MIIC8CZ00E;IC NARCISI/MILANO;VIA DEI NARCISI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CZ00E@istruzione.it;Non Disponibile;VIA DEI NARCISI 2;MILANO;LOMBARDIA;SI;www.istitutonarcisi.it;True;9,12878;45,449690000000004;SCUOLA PRIMARIA;297
MIPC170001;201617;NORD OVEST;20121,0;F205;MIPC170001;PARINI;PARINI;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC170001@istruzione.it;mipc170001@pec.istruzione.it;VIA GOITO4;MILANO;LOMBARDIA;SI;www.liceoparini.it;True;9,1899618;45,4744902;SCUOLA SECONDARIA II GRADO;822
MIEE8DV013;201617;NORD OVEST;20124,0;F205;MIIC8DV001;IC FRANCESCHI/MILANO;MURATORI E MENOTTI PIO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DV001@istruzione.it;Non Disponibile;VIA E.MUZIO 5;MILANO;LOMBARDIA;SI;www.icrobertofranceschi.it;True;9,200391900000001;45,490770700000006;SCUOLA PRIMARIA;502
MIEE8AF024;201617;NORD OVEST;20157,0;F205;MIIC8AF001;IC VIA TRILUSSA / MILANO;VIA A.GRAF;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AF001@istruzione.it;Non Disponibile;VIA A.GRAF 70;MILANO;LOMBARDIA;SI;www.ictrilussa.milano.scuolaservizi.it;True;9,1455979;45,5128581;SCUOLA PRIMARIA;235
MIMM8CZ01G;201617;NORD OVEST;20147,0;F205;MIIC8CZ00E;IC NARCISI/MILANO;VIA ANEMONI 10;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CZ00E@istruzione.it;Non Disponibile;VIA ANEMONI 10;MILANO;LOMBARDIA;SI;www.istitutonarcisi.it;True;9,1296605;45,4547405;SCUOLA SECONDARIA I GRADO;327
MIPC110009;201617;NORD OVEST;20122,0;F205;MIPC110009;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;ANN. A EDUCANDATO;MILANO;LICEO CLASSICO;NO;Non Disponibile;MIPC110009@istruzione.it;Non Disponibile;VIA DELLA PASSIONE 12;MILANO;LOMBARDIA;SI;www.setticarraro.gov.it;True;9,2022462;45,4650289;SCUOLA SECONDARIA II GRADO;433
MIEE8AF013;201617;NORD OVEST;20157,0;F205;MIIC8AF001;IC VIA TRILUSSA / MILANO;VIA TRILUSSA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AF001@istruzione.it;Non Disponibile;VIA TRILUSSA 10;MILANO;LOMBARDIA;SI;www.ictrilussa.milano.scuolaservizi.it;True;9,138789300000001;45,514499;SCUOLA PRIMARIA;218
MIMM8FP01V;201617;NORD OVEST;20158,0;F205;MIIC8FP00T;I.C. VIA MAFFUCCI/MILANO;VIA MAFFUCCI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FP00T@istruzione.it;Non Disponibile;VIA MAFFUCCI 60;MILANO;LOMBARDIA;SI;MIIC8FP00T@ISTRUZIONE.IT;True;9,170880300000002;45,5021026;SCUOLA SECONDARIA I GRADO;543
MIEE8DX01P;201617;NORD OVEST;20137,0;F205;MIIC8DX00L;IC CINQUE GIORNATE/MILANO;CINQUE GIORNATE - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DX00L@istruzione.it;Non Disponibile;VIA MUGELLO 5;MILANO;LOMBARDIA;SI;www.iccinquegiornate.gov.it;True;9,2235827;45,4612524;SCUOLA PRIMARIA;537
MIEE8FZ01G;201617;NORD OVEST;20146,0;F205;MIIC8FZ00D;I.C. PIAZZA SICILIA/MILANO;A.S.NOVARO E C.C.FERRUCCI-MILAN;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FZ00D@istruzione.it;Non Disponibile;PIAZZA SICILIA 2;MILANO;LOMBARDIA;SI;WWW.ICSPIAZZASICILIA.GOV.IT;True;9,153118800000001;45,4648387;SCUOLA PRIMARIA;854
MIMM8FZ01E;201617;NORD OVEST;20149,0;F205;MIIC8FZ00D;I.C. PIAZZA SICILIA/MILANO;MONTEVERDI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FZ00D@istruzione.it;Non Disponibile;VIA V. COLONNA 42;MILANO;LOMBARDIA;SI;www.icspiazzasicilia.gov.it;True;9,1500014;45,4682911;SCUOLA SECONDARIA I GRADO;519
MIEE8D301B;201617;NORD OVEST;20133,0;F205;MIIC8D3009;I.C. A. SCARPA MILANO;A.SCARPA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D3009@istruzione.it;Non Disponibile;VIA CLERICETTI 22;MILANO;LOMBARDIA;SI;www.icscarpa.gov.it;True;9,2356939;45,4779175;SCUOLA PRIMARIA;296
MIPM050003;201617;NORD OVEST;20129,0;F205;MIPM050003;VIRGILIO;VIRGILIO;NORMALE;MILANO;ISTITUTO MAGISTRALE;SI;Non Disponibile;MIPM050003@istruzione.it;mipm050003@pec.istruzione.it;PIAZZA ASCOLI 2;MILANO;LOMBARDIA;SI;www.liceovirgilio.mi.gov.it;True;9,2178409;45,4725919;SCUOLA SECONDARIA II GRADO;1786
MIMM8AF012;201617;NORD OVEST;20157,0;F205;MIIC8AF001;IC VIA TRILUSSA / MILANO;VIA GRAF;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8AF001@istruzione.it;Non Disponibile;VIA GRAF 74;MILANO;LOMBARDIA;SI;www.ictrilussa.milano.scuolaservizi.it;True;9,145923199999999;45,51236840000001;SCUOLA SECONDARIA I GRADO;181
MIEE8D0021;201617;NORD OVEST;20152,0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;VIA FORZE ARMATE 279;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA FORZE ARMATE 279;MILANO;LOMBARDIA;SI;http//www.icsiqbalmasih.gov.it;True;9,1035239;45,4593303;SCUOLA PRIMARIA;286
MIMM8CF017;201617;NORD OVEST;20161,0;F205;MIIC8CF006;IC C. CANTU'/MILANO;SABA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CF006@istruzione.it;Non Disponibile;VIA DEL VOLGA 3;MILANO;LOMBARDIA;SI;www.icscantu.gov.it;True;9,172557000000001;45,5256112;SCUOLA SECONDARIA I GRADO;342
MIMM8D301A;201617;NORD OVEST;20133,0;F205;MIIC8D3009;I.C. A. SCARPA MILANO;B. CAIROLI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8D3009@istruzione.it;Non Disponibile;VIA PASCAL 35;MILANO;LOMBARDIA;SI;www.icscarpa.gov.it;True;9,2348095;45,478695200000004;SCUOLA SECONDARIA I GRADO;389
MIEE8BD012;201617;NORD OVEST;20121,0;F205;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;ICS MILANO SPIGA SPIGA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BD00X@istruzione.it;Non Disponibile;VIA DELLA SPIGA 29;MILANO;LOMBARDIA;SI;http//www.icsmilanospiga.gov.it/;True;9,195582;45,4712105;SCUOLA PRIMARIA;138
MIEE8DD028;201617;NORD OVEST;20127,0;F205;MIIC8DD005;I.C. VIA GIACOSA 46/MILANO;VIA RUSSO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DD005@istruzione.it;Non Disponibile;VIA RUSSO 27;MILANO;LOMBARDIA;SI;WWW.casadelsoleonline.it;True;9,2282353;45,49785079999999;SCUOLA PRIMARIA;395
MIPC20000G;201617;NORD OVEST;20123,0;F205;MIPC20000G;TITO LIVIO;TITO LIVIO;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC20000G@istruzione.it;mipc20000g@pec.istruzione.it;VIA CIRCO 4;MILANO;LOMBARDIA;SI;www.titolivio.gov.it;True;9,1807526;45,4616281;SCUOLA SECONDARIA II GRADO;611
MIEE8DD017;201617;NORD OVEST;20127,0;F205;MIIC8DD005;I.C. VIA GIACOSA 46/MILANO;VIA GIACOSA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DD005@istruzione.it;Non Disponibile;VIA GIACOSA 46;MILANO;LOMBARDIA;SI;WWW.casadelsoleonline.it;True;9,221747500000001;45,4948693;SCUOLA PRIMARIA;567
MIMM8B601L;201617;NORD OVEST;20131,0;F205;MIIC8B600G;IC A.STOPPANI/MILANO;S. CATERINA DA SIENA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B600G@istruzione.it;Non Disponibile;VIA MONTEVERDI 6;MILANO;LOMBARDIA;SI;www.icstoppani.it;True;9,2151814;45,481782700000004;SCUOLA SECONDARIA I GRADO;311
MIEE8FT01L;201617;NORD OVEST;20133,0;F205;MIIC8FT00E;I.C. P.ZA L.DA VINCI/MILANO;P.ZA LEONARDO DA VINCI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FT00E@istruzione.it;Non Disponibile;PIAZZA LEONARDO DA VINCI 2;MILANO;LOMBARDIA;SI;www.icpiazzaleonardodavinci.gov.it;True;9,225691699999999;45,4779604;SCUOLA PRIMARIA;854
MITN03000E;201617;NORD OVEST;20151,0;F205;MITN03000E;ARTEMISIA GENTILESCHI;ARTEMISIA GENTILESCHI;NORMALE;MILANO;ISTITUTO TECNICO PER IL TURISMO;SI;Non Disponibile;MITN03000E@istruzione.it;mitn03000e@pec.istruzione.it;VIA NATTA11;MILANO;LOMBARDIA;SI;www.gentileschi.it;True;9,1243893;45,488845;SCUOLA SECONDARIA II GRADO;1533
MIMM8DX01N;201617;NORD OVEST;20137,0;F205;MIIC8DX00L;IC CINQUE GIORNATE/MILANO;VIA CIPRO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DX00L@istruzione.it;Non Disponibile;VIA CIPRO 2;MILANO;LOMBARDIA;SI;www.iccinquegiornate.gov.it;True;9,222058800000001;45,461005799999995;SCUOLA SECONDARIA I GRADO;231
MIEE8CF029;201617;NORD OVEST;20161,0;F205;MIIC8CF006;IC C. CANTU'/MILANO;ANNA FRANK;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CF006@istruzione.it;Non Disponibile;VIA DORA BALTEA 16;MILANO;LOMBARDIA;SI;www.icscantu.gov.it;True;9,1682314;45,5278912;SCUOLA PRIMARIA;313
MIPM03000T;201617;NORD OVEST;20136,0;F205;MIPM03000T;AGNESI;AGNESI;NORMALE;MILANO;ISTITUTO MAGISTRALE;SI;Non Disponibile;MIPM03000T@istruzione.it;mipm03000t@pec.istruzione.it;VIA TABACCHI 17;MILANO;LOMBARDIA;SI;WWW.LICEOAGNESIMILANO.GOV.IT;True;9,1824689;45,4477881;SCUOLA SECONDARIA II GRADO;1190
MIEE8FS01R;201617;NORD OVEST;20122,0;F205;MIIC8FS00P;I.C. VIA DELLA COMMENDA /MILANO;C.PORTA - G.AGNESI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FS00P@istruzione.it;Non Disponibile;VIA QUADRONNO 32;MILANO;LOMBARDIA;SI;WWW.ICSCOMMENDA.GOV.IT;True;9,1948489;45,4541155;SCUOLA PRIMARIA;480
MITF093013;201617;NORD OVEST;20153,0;F205;MIIS09300E;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;MIIS09300E@istruzione.it;Non Disponibile;VIA F.LLI ZOIA 130;MILANO;LOMBARDIA;SI;www.curiesraffa.it;True;9,1095818;45,468956;SCUOLA SECONDARIA II GRADO;824
MIEE8B602P;201617;NORD OVEST;20129,0;F205;MIIC8B600G;IC A.STOPPANI/MILANO;VIA MATTEUCCI 3;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B600G@istruzione.it;Non Disponibile;VIA MATTEUCCI 3;MILANO;LOMBARDIA;SI;www.icstoppani.it;True;9,2159347;45,481204600000005;SCUOLA PRIMARIA;523
MIEE8AN01G;201617;NORD OVEST;20138,0;F205;MIIC8AN00D;IC M.TERESA DI CALCUTTA/MILANO;LARGO GUERRIERI GONZAGA-MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AN00D@istruzione.it;Non Disponibile;LARGO GUERRIERI GONZAGA 4;MILANO;LOMBARDIA;SI;www.mtcalcutta.it;True;9,2508335;45,4451359;SCUOLA PRIMARIA;149
MIEE8CF018;201617;NORD OVEST;20161,0;F205;MIIC8CF006;IC C. CANTU'/MILANO;C.CANTU' - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CF006@istruzione.it;Non Disponibile;VIA DEI BRASCHI 12;MILANO;LOMBARDIA;SI;www.icscantu.gov.it;True;9,1766784;45,5264222;SCUOLA PRIMARIA;307
MIEE8CY01R;201617;NORD OVEST;20142,0;F205;MIIC8CY00P;IC CAPPONI/MILANO;SCUOLA PRIMARIA GINO CAPPONI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CY00P@istruzione.it;Non Disponibile;VIA PESTALOZZI 13;MILANO;LOMBARDIA;SI;www.icscapponi.it;True;9,155323699999999;45,4460945;SCUOLA PRIMARIA;320
MIEE30201R;201617;NORD OVEST;20122,0;F205;MIEE30200Q;E.SETTI CARRARO DALLA CHIESA/MI;SETTI CARRARO DALLA CHIESA - MI;ANN. A EDUCANDATO;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIEE30200Q@istruzione.it;Non Disponibile;VIA PASSIONE 12;MILANO;LOMBARDIA;SI;www.setticarraro.gov.it;True;9,2022462;45,4650289;SCUOLA PRIMARIA;232
MITF01701D;201617;NORD OVEST;20132,0;F205;MIIS017001;I.I.S. JAMES CLERK MAXWELL;JAMES CLERK MAXWELL;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;MIIS017001@istruzione.it;Non Disponibile;VIA DON G. CALABRIA 2;MILANO;LOMBARDIA;SI;www.maxwell.mi.it;True;9,23953;45,49758;SCUOLA SECONDARIA II GRADO;1062
MIMM8FT01G;201617;NORD OVEST;20129,0;F205;MIIC8FT00E;I.C. P.ZA L.DA VINCI/MILANO;TIEPOLO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FT00E@istruzione.it;Non Disponibile;PIAZZA ASCOLI 2;MILANO;LOMBARDIA;SI;WWW.ICPIAZZALEONARDODAVINCI.GOV.IT;True;9,2178409;45,4725919;SCUOLA SECONDARIA I GRADO;739
MIEE8F0015;201617;NORD OVEST;20149,0;F205;MIIC8F0003;I.C. VIA GATTAMELATA 35/MILANO;PIETRO MICCA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8F0003@istruzione.it;Non Disponibile;VIA GATTAMELATA 35;MILANO;LOMBARDIA;SI;www.icsgattamelata.gov.it;True;9,1519025;45,48384919999999;SCUOLA PRIMARIA;695
MIEE8FU03E;201617;NORD OVEST;20133,0;F205;MIIC8FU00A;I.C. GUIDO GALLI;NOLLI ARQUATI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FU00A@istruzione.it;Non Disponibile;VIALE ROMAGNA 16/18;MILANO;LOMBARDIA;SI;www.nolli-arquati.it;True;9,2243934;45,4707988;SCUOLA PRIMARIA;487
MIRI01701L;201617;NORD OVEST;20132,0;F205;MIIS017001;I.I.S. JAMES CLERK MAXWELL;SETTEMBRINI;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS017001@istruzione.it;Non Disponibile;VIA NARNI 18;MILANO;LOMBARDIA;SI;www.settembrini.mi.it;True;9,248256;45,50166840000001;SCUOLA SECONDARIA II GRADO;290
MIMM8DY01D;201617;NORD OVEST;20142,0;F205;MIIC8DY00C;IC S.AMBROGIO/MILANO;S.AMBROGIO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DY00C@istruzione.it;Non Disponibile;VIA DE NICOLA 40;MILANO;LOMBARDIA;SI;www.comprensivosantabrogio.gov.it;True;9,1590906;45,429886100000004;SCUOLA SECONDARIA I GRADO;192
MITN02000X;201617;NORD OVEST;20134,0;F205;MITN02000X;PIER PAOLO PASOLINI;PIER PAOLO PASOLINI;NORMALE;MILANO;ISTITUTO TECNICO PER IL TURISMO;SI;Non Disponibile;MITN02000X@istruzione.it;mitn02000x@pec.istruzione.it;VIA BISTOLFI15;MILANO;LOMBARDIA;SI;www.itspasolini.eu;True;9,2446575;45,4738299;SCUOLA SECONDARIA II GRADO;782
MIEE8DE013;201617;NORD OVEST;20122,0;F205;MIIC8DE001;OMNICOMPRENSIVO MUSICALE MILANO;OMNICOMPRENSIVO MUSICALE MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DE001@istruzione.it;Non Disponibile;VIA CORRIDONI 34-36;MILANO;LOMBARDIA;SI;WWW.icscuocosassi.it;True;9,203984599999998;45,463527500000005;SCUOLA PRIMARIA;383
MIMM8FS01Q;201617;NORD OVEST;20122,0;F205;MIIC8FS00P;I.C. VIA DELLA COMMENDA /MILANO;MAJNO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FS00P@istruzione.it;Non Disponibile;VIA COMMENDA 22 A;MILANO;LOMBARDIA;SI;www.icscommenda.gov.it;True;9,1991752;45,455937799999994;SCUOLA SECONDARIA I GRADO;778
MIPS08101P;201617;NORD OVEST;20137,0;F205;MIIS081008;"""P. VERRI""";"""P. VERRI""";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS081008@istruzione.it;Non Disponibile;VIA LATTANZIO 38;MILANO;LOMBARDIA;SI;www.itcverri.gov.it;True;9,216128900000001;45,4516331;SCUOLA SECONDARIA II GRADO;395
MIMM8CH01V;201617;NORD OVEST;20159,0;F205;MIIC8CH00T;IC CONFALONIERI/MILANO;R.GOVONE - PAVONI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CH00T@istruzione.it;Non Disponibile;VIA PEPE 40;MILANO;LOMBARDIA;SI;www.istitutoconfalonieri.gov.;True;9,1835989;45,487432;SCUOLA SECONDARIA I GRADO;219
MIEE301011;201617;NORD OVEST;20123,0;F205;MIEE30100X;CONVITTO NAZ.LE LONGONE/ MILANO;CONVITTO NAZ. LONGONE - MILANO;ANNESSO A CONVITTO;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIEE30100X@istruzione.it;Non Disponibile;VIA DEGLI OLIVETANI 9;MILANO;LOMBARDIA;SI;www.convittolongone.it;True;9,1687866;45,4618696;SCUOLA PRIMARIA;97
MIEE8D202L;201617;NORD OVEST;20156,0;F205;MIIC8D200D;IC VIA CONSOLE MARCELLO/MILANO;CAPPELLINI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D200D@istruzione.it;Non Disponibile;VIA DE ROSSI 2;MILANO;LOMBARDIA;SI;http//www.consolemarcello.gov.it/;True;9,14066;45,50097;SCUOLA PRIMARIA;326
MIEE8FU02D;201617;NORD OVEST;20133,0;F205;MIIC8FU00A;I.C. GUIDO GALLI;BONETTI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FU00A@istruzione.it;Non Disponibile;VIA TAJANI 12;MILANO;LOMBARDIA;SI;www.nolli-arquati.it;True;9,2368496;45,4724711;SCUOLA PRIMARIA;191
MIEE8DY03L;201617;NORD OVEST;20142,0;F205;MIIC8DY00C;IC S.AMBROGIO/MILANO;G.FERRARIS;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DY00C@istruzione.it;Non Disponibile;VIA BARONA 70;MILANO;LOMBARDIA;SI;www.comprensivosantabrogio.gov.it;True;9,147733500000001;45,4322737;SCUOLA PRIMARIA;95
MIEE8CZ03P;201617;NORD OVEST;20147,0;F205;MIIC8CZ00E;IC NARCISI/MILANO;VIA ANEMONI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CZ00E@istruzione.it;Non Disponibile;VIA ANEMONI 8;MILANO;LOMBARDIA;SI;www.istitutonarcisi.it;True;9,131301800000001;45,4549898;SCUOLA PRIMARIA;379
MIMM8C301Q;201617;NORD OVEST;20151,0;F205;MIIC8C300P;IC RICCARDO MASSA/MILANO;VIA QUARENGHI 14;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C300P@istruzione.it;Non Disponibile;VIA QUARENGHI 14;MILANO;LOMBARDIA;SI;www.icriccardomassa.mi.it;True;9,1193382;45,4947589;SCUOLA SECONDARIA I GRADO;494
MIPS37000T;201617;NORD OVEST;20133,0;F205;MIPS37000T;"L.S.S. ""R.DONATELLI-B.PASCAL""";"L.S.S. ""R.DONATELLI-B.PASCAL""";NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS37000T@istruzione.it;mips37000t@pec.istruzione.it;VIALE CAMPANIA6 E VIA A.CORTI16;MILANO;LOMBARDIA;SI;www.donatelli-pascal.gov.it;True;9,224399;45,4628351;SCUOLA SECONDARIA II GRADO;930
MIMM8DD016;201617;NORD OVEST;20127,0;F205;MIIC8DD005;I.C. VIA GIACOSA 46/MILANO;CASA DEL SOLE;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DD005@istruzione.it;Non Disponibile;VIA GIACOSA 46;MILANO;LOMBARDIA;SI;WWW.casadelsoleonline.it;True;9,221747500000001;45,4948693;SCUOLA SECONDARIA I GRADO;375
MIMM8FU01B;201617;NORD OVEST;;F205;MIIC8FU00A;I.C. GUIDO GALLI;S.M.S. COVA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FU00A@istruzione.it;Non Disponibile;VIA G. COVA 5;MILANO;LOMBARDIA;SI;www.nolli-arquati.it;True;9,236752800000001;45,46898839999999;SCUOLA SECONDARIA I GRADO;192
MIEE8CZ02N;201617;NORD OVEST;20147,0;F205;MIIC8CZ00E;IC NARCISI/MILANO;VIA PISA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CZ00E@istruzione.it;Non Disponibile;VIA PISA 1;MILANO;LOMBARDIA;SI;www.istitutonarcisi.it;True;9,1211424;45,45316039999999;SCUOLA PRIMARIA;204
MIEE8D201G;201617;NORD OVEST;20156,0;F205;MIIC8D200D;IC VIA CONSOLE MARCELLO/MILANO;VIA CONSOLE MARCELLO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D200D@istruzione.it;Non Disponibile;VIA CONSOLE MARCELLO 9;MILANO;LOMBARDIA;SI;www.consolemarcello.gov.it;True;9,14901;45,49941;SCUOLA PRIMARIA;458
MIRC079017;201617;NORD OVEST;20131,0;F205;MIIS079008;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI;NO;Non Disponibile;MIIS079008@istruzione.it;Non Disponibile;VIALE LOMBARDIA 89;MILANO;LOMBARDIA;SI;www.istitutocaterinadasiena.gov.it;True;9,2233129;45,4881807;SCUOLA SECONDARIA II GRADO;775
MIEE8C1015;201617;NORD OVEST;20151,0;F205;MIIC8C1003;IC G. BORSI/MILANO;G.BORSI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA VISCONTINI 7;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,105839300000001;45,490995399999996;SCUOLA PRIMARIA;195
MITD08101E;201617;NORD OVEST;20137,0;F205;MIIS081008;"""P. VERRI""";"""P. VERRI""";NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS081008@istruzione.it;Non Disponibile;VIA LATTANZIO 38;MILANO;LOMBARDIA;SI;www.itcverri.gov.it;True;9,216128900000001;45,4516331;SCUOLA SECONDARIA II GRADO;554
