CODICESCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat
MIEE8C1037;201617;NORD OVEST;20151;F205;MIIC8C1003;IC G. BORSI/MILANO;VIA A.VISCONTI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA A.VISCONTI 16;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,1027069;45,5030344
MIAA8CB01Q;201617;NORD OVEST;20136;F205;MIIC8CB00V;ICS JACOPO BAROZZI/MILANO;SCUOLA INFANZIA GIAMBOLOGNA;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8CB00V@istruzione.it;Non Disponibile;VIA GIAMBOLOGNA 30;MILANO;LOMBARDIA;SI;www.icsbarozzi.gov.it;True;9,1845471;45,4453608
MIMM8DQ01D;201617;NORD OVEST;20125;F205;MIIC8DQ00C;I.C. LOCATELLI-QUASIMODO;QUASIMODO/TOMMASEO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DQ00C@istruzione.it;Non Disponibile;VIA DELLA GIUSTIZIA 6;MILANO;LOMBARDIA;SI;www.icslocatelli-quasimodo.gov.it;True;9,2074255;45,4990501
MITF07901R;201617;NORD OVEST;20131;F205;MIIS079008;"I.I.S. ""CATERINA DA SIENA""";ITIS C. DA SIENA;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;MIIS079008@istruzione.it;Non Disponibile;VIALE LOMBARDIA 89;MILANO;LOMBARDIA;SI;www.istitutocaterinadasiena.it;True;9,2233129;45,4881807
MIEE8DF031;201617;NORD OVEST;20162;F205;MIIC8DF00R;IC SANDRO PERTINI/MILANO;G.PIRELLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DF00R@istruzione.it;Non Disponibile;VIA GOFFREDO DA BUSSERO 9;MILANO;LOMBARDIA;SI;http//www.icpertinimilano.gov.it/;True;9,2056299;45,5189803
MIRC094019;201617;NORD OVEST;20122;F205;MIIS09400A;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;NO;Non Disponibile;MIIS09400A@istruzione.it;Non Disponibile;CORSO DI PORTA ROMANA 110;MILANO;LOMBARDIA;SI;www.bertarelliferraris.gov.it;True;9,1977949;45,4545767
MIEE8C1026;201617;NORD OVEST;20151;F205;MIIC8C1003;IC G. BORSI/MILANO;VIA CILEA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA CILEA 12;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,10525;45,49719
MIMM81901D;201617;NORD OVEST;20126;F205;MIIC81900C;IC I.CALVINO;I. CALVINO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA FRIGIA 4;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,22176;45,51477
MIEE8DF02X;201617;NORD OVEST;20162;F205;MIIC8DF00R;IC SANDRO PERTINI/MILANO;OSPEDALE MAGGIORE NIGUARDA;C/O IST. OSPEDALIERO;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DF00R@istruzione.it;Non Disponibile;PIAZZA OSPEDALE MAGGIORE 3;MILANO;LOMBARDIA;SI;Non Disponibile;True;9,1891379;45,508015
MIEE8C7047;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;PRIMARIA EDUCAZIONE SPORT E MUSICA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA SAN GIUSTO 65;MILANO;LOMBARDIA;SI;WWW.ISTITUTOLUCIANOMANARA.GOV.IT;True;9,1176666;45,4713419
MIMM8C1014;201617;NORD OVEST;20151;F205;MIIC8C1003;IC G. BORSI/MILANO;VIA OJETTI 13;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA OJETTI 13;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,112157999999999;45,4940736
MIAA81902A;201617;NORD OVEST;20145;F205;MIIC81900C;IC I.CALVINO;VIA S.UGUZZONE;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA S.UGUZZONE 10;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,2256112;45,5207089
MIRI077018;201617;NORD OVEST;20152;F205;MIIS07700L;G. GALILEI - R. LUXEMBURG;ROSA LUXEMBURG;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS07700L@istruzione.it;Non Disponibile;VIA ULIVI6;MILANO;LOMBARDIA;SI;www.galileimilano.it;True;9,0828208;45,4548339
MIPC039015;201617;NORD OVEST;20161;F205;MIIS03900T;BERTRAND RUSSELL;VIA DEL VOLGA4 MILANO;NORMALE;MILANO;LICEO CLASSICO;NO;Non Disponibile;MIIS03900T@istruzione.it;Non Disponibile;VIA DEL VOLGA4;MILANO;LOMBARDIA;SI;www.liceomero.it;True;9,172139999999999;45,5255
MIRI094012;201617;NORD OVEST;20122;F205;MIIS09400A;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS09400A@istruzione.it;Non Disponibile;CORSO DI PORTA ROMANA 110;MILANO;LOMBARDIA;SI;www.bertarelli.it;True;9,1977949;45,4545767
MIEE8C1048;201617;NORD OVEST;20153;F205;MIIC8C1003;IC G. BORSI/MILANO;I.NIEVO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA SILLA 150;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,0772353;45,4940114
MIAA8C6013;201617;NORD OVEST;20151;F205;MIIC8C6006;"IC ""VIA PARETO""/MILANO";INFANZIA-VIA SAPRI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8C6006@istruzione.it;Non Disponibile;VIA SAPRI 25;MILANO;LOMBARDIA;SI;www.icspareto.gov.it;True;9,1266614;45,5047333
MIEE8FP021;201617;NORD OVEST;20158;F205;MIIC8FP00T;I.C. VIA MAFFUCCI/MILANO;VIA BODIO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FP00T@istruzione.it;Non Disponibile;VIA BODIO 22;MILANO;LOMBARDIA;SI;www.icmaffucci.gov.it;True;9,1686619;45,4976147
MIEE8C7014;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;PRIMARIA LUCIANO MANARA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA LAMENNAIS20;MILANO;LOMBARDIA;SI;www.istitutolucianomanara.gov.it;True;9,1130247;45,473406
MIMM8B9014;201617;NORD OVEST;20135;F205;MIIC8B9003;IC E.MOROSINI E B.SAVOIA/MILANO;MANARA CARMELITA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B9003@istruzione.it;Non Disponibile;VIA BEZZECCA 20;MILANO;LOMBARDIA;SI;WWW.ICMOROSINIMANARA.GOV.IT;True;9,213566499999999;45,46082029999999
MIEE8FP01X;201617;NORD OVEST;20158;F205;MIIC8FP00T;I.C. VIA MAFFUCCI/MILANO;VIA GUICCIARDI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FP00T@istruzione.it;Non Disponibile;VIA GUICCIARDI;MILANO;LOMBARDIA;SI;MIIC8FP@ISTRUZIONE.IT;True;9,172802599999999;45,5025997
MIPS04301X;201617;NORD OVEST;20132;F205;MIIS04300D;IS F.BESTA;"""BESTA""";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS04300D@istruzione.it;Non Disponibile;VIA DON CALABRIA 16;MILANO;LOMBARDIA;SI;www.fbesta.it;True;9,2419262;45,4993466
MIEE8CS036;201617;NORD OVEST;20161;F205;MIIC8CS002;IC DON ORIONE/MILANO;F.CARACCIOLO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CS002@istruzione.it;Non Disponibile;VIA ISEO 7;MILANO;LOMBARDIA;SI;www.icsdonorione.gov.it/;True;9,1737772;45,5200159
MIMM82001N;201617;NORD OVEST;20152;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;CESARE CORRENTI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA BETULLE 17;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,081412199999999;45,45294759999999
MIMM8BD011;201617;NORD OVEST;20121;F205;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;ICS MILANO SPIGA (PARINI SMS);NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8BD00X@istruzione.it;Non Disponibile;VIA S.SPIRITO 21;MILANO;LOMBARDIA;SI;WWW.ICSMILANOSPIGA.GOV.IT;True;9,195618999999999;45,4706719
MIEE8C7036;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;OSPEDALE S.CARLO;C/O IST. OSPEDALIERO;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA PIO II 3;MILANO;LOMBARDIA;SI;Non Disponibile;True;9,1138072;45,4690838
MITD04301Q;201617;NORD OVEST;20132;F205;MIIS04300D;IS F.BESTA;F.BESTA;NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS04300D@istruzione.it;Non Disponibile;VIA DON G.CALABRIA16;MILANO;LOMBARDIA;SI;www.fbesta.it;True;9,2419262;45,4993466
MIRC059012;201617;NORD OVEST;20138;F205;MIIS059003;"""ORIANI-MAZZINI"" MILANO";"""ORIANI-MAZZINI"" MILANO";NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI;NO;Non Disponibile;MIIS059003@istruzione.it;Non Disponibile;VIA ZANTE 34;MILANO;LOMBARDIA;SI;www.orianimazzini.gov.it;True;9,2472582;45,458737
MIEE8DY01E;201617;NORD OVEST;20142;F205;MIIC8DY00C;IC S.AMBROGIO/MILANO;DE NICOLA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DY00C@istruzione.it;Non Disponibile;VIA DE NICOLA 2;MILANO;LOMBARDIA;SI;www.comprensivosantabrogio.gov.it;True;9,15509;45,43159
MIMM815016;201617;NORD OVEST;20146;F205;MIIC815005;"IC ""CARDARELLI MASSAUA""-MILANO";CARDARELLI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC815005@istruzione.it;Non Disponibile;VIA SCROSATI 4;MILANO;LOMBARDIA;SI;http//cardarelli-massaua.gov.it;True;9,1392945;45,45415939999999
MIEE8C7025;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;C. POMA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA AIRAGHI 42;MILANO;LOMBARDIA;SI;www.istitutolucianomanara.gov.it;True;9,085125099999999;45,4763579
MIEE8BD023;201617;NORD OVEST;20121;F205;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;IC MILANO SPIGA A. DA GIUSSANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BD00X@istruzione.it;Non Disponibile;BASTIONI DI PORTA NUOVA 4;MILANO;LOMBARDIA;SI;http//www.icsmilanospiga.gov.it/;True;9,1912102;45,4800215
MIMM8CG013;201617;NORD OVEST;20161;F205;MIIC8CG002;IC VIA SCIALOIA/MILANO;BUONARROTI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CG002@istruzione.it;Non Disponibile;VIA SCIALOIA 21;MILANO;LOMBARDIA;SI;www.icscialoia.gov.it;True;9,1796136;45,5086747
MIAA8DY019;201617;NORD OVEST;20142;F205;MIIC8DY00C;IC S.AMBROGIO/MILANO;VIA DE PRETIS;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8DY00C@istruzione.it;Non Disponibile;VIA DE PRETIS 15;MILANO;LOMBARDIA;SI;www.comprensivosantambrogio.gov.it;True;9,152184;45,43085490000001
MIEE815017;201617;NORD OVEST;20146;F205;MIIC815005;"IC ""CARDARELLI MASSAUA""-MILANO";MI-MASSAUA AGGR. SMS CARDARELLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC815005@istruzione.it;Non Disponibile;VIA MASSAUA 5;MILANO;LOMBARDIA;SI;htpp//www.cardarelli-massaua.gov.it;True;9,1483172;45,4607509
MIEE8CX022;201617;NORD OVEST;20141;F205;MIIC8CX00V;IC FABIO FILZI/MILANO;ERMANNO WOLF FERRARI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CX00V@istruzione.it;Non Disponibile;VIA WOLF FERRARI 6;MILANO;LOMBARDIA;SI;www.icsfilzi.it;True;9,2045002;45,4309665
MIEE8DZ03C;201617;NORD OVEST;20142;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";G.CASATI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA S.COLOMBANO 9;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,1269602;45,43866
MIAA8CG02X;201617;NORD OVEST;20161;F205;MIIC8CG002;IC VIA SCIALOIA/MILANO;VIA SCIALOIA;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8CG002@istruzione.it;Non Disponibile;VIA SCIALOIA 15;MILANO;LOMBARDIA;SI;www.icscialoia.gov.it;True;9,1791985;45,5100766
MIEE8CX011;201617;NORD OVEST;20139;F205;MIIC8CX00V;IC FABIO FILZI/MILANO;FABIO FILZI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CX00V@istruzione.it;Non Disponibile;VIA RAVENNA 15;MILANO;LOMBARDIA;SI;www.icsfilzi.it;True;9,2211877;45,4341389
MIMM8B701C;201617;NORD OVEST;20129;F205;MIIC8B700B;IC PISACANE E POERIO/MILANO;LOCATELLI - ORIANI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B700B@istruzione.it;Non Disponibile;VIA PISACANE 13;MILANO;LOMBARDIA;SI;www.icpisacanepoerio.gov.it;True;9,2108616;45,470352
MIEE8DZ02B;201617;NORD OVEST;20142;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";TRE CASTELLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA BALSAMO CRIVELLI 3;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,1377031;45,4390755
MIMM8DE012;201617;NORD OVEST;20122;F205;MIIC8DE001;OMNICOMPRENSIVO MUSICALE MILANO;"SCUOLA MEDIA ""G.VERDI""";NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DE001@istruzione.it;Non Disponibile;VIA CORRIDONI 34/36;MILANO;LOMBARDIA;SI;www.icscuocosassi.it;True;9,2039846;45,4635275
MIMM8DZ019;201617;NORD OVEST;20142;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";VIA SALERNO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA SALERNO 1;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,1486016;45,4378059
MIEE8B701D;201617;NORD OVEST;20129;F205;MIIC8B700B;IC PISACANE E POERIO/MILANO;PISACANE E POERIO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B700B@istruzione.it;Non Disponibile;VIA PISACANE 9;MILANO;LOMBARDIA;SI;www.icpisacanepoerio.gov.it;True;9,2110027;45,4696919
MIEE8CG014;201617;NORD OVEST;20161;F205;MIIC8CG002;IC VIA SCIALOIA/MILANO;VIA SCIALOIA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CG002@istruzione.it;Non Disponibile;VIA SCIALOIA 19;MILANO;LOMBARDIA;SI;www.icscialoia.gov.it;True;9,179484799999999;45,50923419999999
MIEE8B601N;201617;NORD OVEST;20129;F205;MIIC8B600G;IC A.STOPPANI/MILANO;VIA STOPPANI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B600G@istruzione.it;Non Disponibile;VIA STOPPANI 1;MILANO;LOMBARDIA;SI;www.icstoppani.gov.it;True;9,2117113;45,4761739
MIEE8DZ04D;201617;NORD OVEST;20142;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";OSPEDALE SAN PAOLO - MI;C/O IST. OSPEDALIERO;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA A. DI RUDINI' 8;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,159785099999999;45,4340649
MIMM80901V;201617;NORD OVEST;20141;F205;MIIC80900T;"IC ""E. MORANTE""/MILANO";MORANTE;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC80900T@istruzione.it;Non Disponibile;VIA HEINE 2;MILANO;LOMBARDIA;SI;www.icselsamorante.it;True;9,1937699;45,4390578
MIEE8CH021;201617;NORD OVEST;20159;F205;MIIC8CH00T;IC CONFALONIERI/MILANO;R.LAMBRUSCHINI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CH00T@istruzione.it;Non Disponibile;VIA CRESPI 1;MILANO;LOMBARDIA;SI;www.istitutoconfalonieri.gov.it;True;9,1860033;45,49867860000001
MIAA8FV013;201617;NORD OVEST;20141;F205;MIIC8FV006;I.C VIA PALMIERI - MILANO;SCUOLA INFANZIA VIA CASSONI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8FV006@istruzione.it;Non Disponibile;VIA CASSONI 7;MILANO;LOMBARDIA;SI;www.icviapalmieri.gov.it;True;9,1756692;45,4311337
MIEE306036;201617;NORD OVEST;20128;F205;MIEE306003;CD G.B.PERASSO / MILANO;BOTTEGO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIEE306003@istruzione.it;Non Disponibile;VIA SAN MAMETE 11;MILANO;LOMBARDIA;SI;www.ddperasso.gov.it;True;9,2479721;45,5110184
MIEE8CH01X;201617;NORD OVEST;20159;F205;MIIC8CH00T;IC CONFALONIERI/MILANO;F.CONFALONIERI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CH00T@istruzione.it;Non Disponibile;VIA DAL VERME 10;MILANO;LOMBARDIA;SI;www.istitutoconfalonieri.gov.it;True;9,1879499;45,4872903
MIPS039018;201617;NORD OVEST;20162;F205;MIIS03900T;BERTRAND RUSSELL;BERTRAND RUSSELL;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS03900T@istruzione.it;Non Disponibile;VIA GATTI 16;MILANO;LOMBARDIA;SI;www.iis-russell.gov.it;True;9,1907418;45,5059725
MIMM8FW013;201617;NORD OVEST;20142;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;ARCADIA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA DELL'ARCADIA 24;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,1721413;45,4170778
MIEE8B802A;201617;NORD OVEST;20137;F205;MIIC8B8007;IC TOMMASO GROSSI/MILANO;OTTOLINI BELGIOIOSO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B8007@istruzione.it;Non Disponibile;VIA COLLETTA 49/51;MILANO;LOMBARDIA;SI;www.icgrossimilano.it;True;9,211837899999999;45,4489417
MIAA8CG01V;201617;NORD OVEST;20161;F205;MIIC8CG002;IC VIA SCIALOIA/MILANO;VIA PELLEGRINO ROSSI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8CG002@istruzione.it;Non Disponibile;VIA PELLEGRINO ROSSI 17;MILANO;LOMBARDIA;SI;www.icscialoia.gov.it;True;9,1762153;45,5084216
MIEE306014;201617;NORD OVEST;20132;F205;MIEE306003;CD G.B.PERASSO / MILANO;G.B.PERASSO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIEE306003@istruzione.it;Non Disponibile;VIA BOTTEGO 4;MILANO;LOMBARDIA;SI;www.ddperasso.gov.it;True;9,2438854;45,5036677
MIEE8B8019;201617;NORD OVEST;20137;F205;MIIC8B8007;IC TOMMASO GROSSI/MILANO;TOMMASO GROSSI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B8007@istruzione.it;Non Disponibile;VIA MONTE VELINO 2 4;MILANO;LOMBARDIA;SI;www.icgrossimilano.it;True;9,2248152;45,4529045
MIMM8DG01N;201617;NORD OVEST;20126;F205;MIIC8DG00L;IC ARBE ZARA/MILANO;VIALE SARCA -MILANO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DG00L@istruzione.it;Non Disponibile;VIALE SARCA 24;MILANO;LOMBARDIA;SI;www.icarbezara.gov.it;True;9,203026399999999;45,5055843
MIEE8FV029;201617;NORD OVEST;20142;F205;MIIC8FV006;I.C VIA PALMIERI - MILANO;C.PERONI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FV006@istruzione.it;Non Disponibile;VIA SAN GIACOMO 1;MILANO;LOMBARDIA;SI;www.icviapalmieri.gov.it;True;9,17311;45,42999
MIEE8FV018;201617;NORD OVEST;20141;F205;MIIC8FV006;I.C VIA PALMIERI - MILANO;C. BATTISTI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FV006@istruzione.it;Non Disponibile;VIA PALMIERI 24;MILANO;LOMBARDIA;SI;www.icvapalmieri.gov.it;True;9,1784593;45,4347466
MIEE81902G;201617;NORD OVEST;20126;F205;MIIC81900C;IC I.CALVINO;MI/S.UGUZZONE AGGR.SMS CALVINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA SANT'UGUZZONE10;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,2256112;45,5207089
MIAA8DG01D;201617;NORD OVEST;20162;F205;MIIC8DG00L;IC ARBE ZARA/MILANO;VIA F.GATTI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8DG00L@istruzione.it;Non Disponibile;VIA F.GATTI 12;MILANO;LOMBARDIA;SI;www.icarbezara.gov.it;True;9,1911232;45,5071456
MIEE8F201R;201617;NORD OVEST;20154;F205;MIIC8F200P;I.C. VIA LINNEO/MILANO;F.APORTI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8F200P@istruzione.it;Non Disponibile;VIA MANTEGNA 10;MILANO;LOMBARDIA;SI;www.icvialinneo.gov.it;True;9,1680338;45,4834912
MIMM8B8018;201617;NORD OVEST;20137;F205;MIIC8B8007;IC TOMMASO GROSSI/MILANO;TITO LIVIO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B8007@istruzione.it;Non Disponibile;MONTE VELINO 2;MILANO;LOMBARDIA;SI;WWW.ICGROSSIMILANO.IT;True;9,2248152;45,4529045
MIEE8DG03R;201617;NORD OVEST;20126;F205;MIIC8DG00L;IC ARBE ZARA/MILANO;C.POERIO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DG00L@istruzione.it;Non Disponibile;VIA PIANELL 40;MILANO;LOMBARDIA;SI;www.icarbezara.gov.it;True;9,2035371;45,5079719
MIEE81901E;201617;NORD OVEST;20126;F205;MIIC81900C;IC I.CALVINO;MI-MATTEI AGGR. S.M.S. CALVINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA MATTEI12;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,2230896;45,51456659999999
MIAA8F201G;201617;NORD OVEST;20154;F205;MIIC8F200P;I.C. VIA LINNEO/MILANO;INFANZIA - MANTEGNA;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8F200P@istruzione.it;Non Disponibile;VIA MANTEGNA 10;MILANO;LOMBARDIA;SI;www.icvialinneo.gov.it;True;9,1680338;45,4834912
MIAA819019;201617;NORD OVEST;20126;F205;MIIC81900C;IC I.CALVINO;VIA RUCELLAI - MILANO;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA RUCELLAI 19;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,2213228;45,5121943
MIAA80901P;201617;NORD OVEST;20141;F205;MIIC80900T;"IC ""E. MORANTE""/MILANO";VIA SOLAROLI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC80900T@istruzione.it;Non Disponibile;VIA SOLAROLI N. 9;MILANO;LOMBARDIA;SI;www.icselsamorante.it;True;9,1988288;45,4364591
MIEE8DG01P;201617;NORD OVEST;20125;F205;MIIC8DG00L;IC ARBE ZARA/MILANO;ARBE ZARA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DG00L@istruzione.it;Non Disponibile;VIALE ZARA 96;MILANO;LOMBARDIA;SI;www.icarbezara.gov.it;True;9,195744999999999;45,4965746
MIEE8DY02G;201617;NORD OVEST;20142;F205;MIIC8DY00C;IC S.AMBROGIO/MILANO;SAN PAOLINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DY00C@istruzione.it;Non Disponibile;VIA DE NICOLA 40;MILANO;LOMBARDIA;SI;www.comprensivosantabrogio.gov.it;True;9,159090599999999;45,4298861
MIEE81903L;201617;NORD OVEST;20128;F205;MIIC81900C;IC I.CALVINO;MI/CARNOVALI AGGR. SMS CALVINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA CARNOVALI 19;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,23012;45,5129729
